Sex,AthleteCount,AverageBodyweight,AverageSquat,AverageBench,AverageDeadlift,AverageTotal,AverageDOTS,AverageStrengthRatio,AverageImprovement
F,3397,66.81,131.66,66.2,136.72,334.58,356.58,5.18,15.9
M,4769,82.8,210.99,126.94,218.37,556.3,388.93,6.93,20.28
