AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH01203,Balvinder Singh,2,730.0,430.04,175.0,TotalImprovement
ATH07875,Vanshika Jain,2,500.0,438.57,172.5,TotalImprovement
ATH05142,Priya M,4,472.5,501.48,172.5,TotalImprovement
ATH06954,Simranpreet Kaur Brar,5,672.5,525.6,172.5,TotalImprovement
ATH00679,Ankit Sankhla,2,665.0,403.1,172.0,TotalImprovement
ATH03449,Lal Hmangaihsanga,2,740.5,484.92,170.5,TotalImprovement
ATH00788,Apoorv Dubey,7,900.0,499.44,170.0,TotalImprovement
ATH02913,K. Karthik,2,795.0,540.77,170.0,TotalImprovement
ATH03919,Mayank Kosle,2,480.0,305.4,170.0,TotalImprovement
ATH02513,I. Akshaya,3,345.0,406.21,170.0,TotalImprovement
ATH04157,Mudda Tirupathamma,2,455.0,493.44,167.5,TotalImprovement
ATH00943,Ashlesha Gudekar,2,520.0,480.12,167.5,TotalImprovement
ATH02030,Elakeya J,2,517.5,443.17,167.5,TotalImprovement
ATH02717,Jayamaruthi M,2,500.0,364.41,167.5,TotalImprovement
ATH04118,Monish Chakrawarty,6,717.5,415.42,167.5,TotalImprovement
ATH01399,Bogam Harishkumar,8,772.5,492.53,167.5,TotalImprovement
ATH06530,Seeya Metilda Baiju,3,447.5,523.44,167.5,TotalImprovement
ATH00327,Akash Sharma,3,750.0,508.39,167.5,TotalImprovement
ATH00670,Ankit Chouhan,6,837.5,488.8,165.0,TotalImprovement
ATH08230,Yogendra Sogarwal,4,665.0,452.03,165.0,TotalImprovement
ATH04417,Neelam Dangi,4,505.0,433.24,165.0,TotalImprovement
ATH07130,Soumen Senapati,2,565.0,443.94,165.0,TotalImprovement
ATH07496,Syed Khaja Vali,3,757.5,490.41,165.0,TotalImprovement
ATH01635,D. Singh,2,585.0,378.26,165.0,TotalImprovement
ATH06354,Sanku Kruparao,2,600.0,472.78,165.0,TotalImprovement
ATH02120,Gagandeep,2,682.5,415.03,165.0,TotalImprovement
ATH08191,Yadhavendh P,2,557.5,443.38,165.0,TotalImprovement
ATH00724,Ansu Singh,2,717.5,490.12,164.5,TotalImprovement
ATH02277,Gourav Sharma #2,4,875.0,502.8,164.0,TotalImprovement
ATH00670,Ankit Chouhan,11,865.0,496.77,162.5,TotalImprovement
ATH04927,Pradeep Kumar #3,11,807.5,545.87,162.5,TotalImprovement
ATH08147,Vivek Kumar Gupta,5,715.0,494.12,162.5,TotalImprovement
ATH05336,Rahul P,2,660.0,395.95,162.5,TotalImprovement
ATH03591,M. Durga Prasad,4,680.0,436.79,160.0,TotalImprovement
ATH04680,P. Vamshi Krishna,2,687.5,503.1,160.0,TotalImprovement
ATH02100,G. Sai Krishna,2,715.0,439.62,160.0,TotalImprovement
ATH05853,Ronit Verma,3,657.5,419.73,160.0,TotalImprovement
