AthleteID,AthleteName,CompetitionNumber,TotalKg,Dots,TotalImprovement,Metric
ATH04766,Paritesh Pal,6,630.0,339.74,-180.0,TotalImprovement
ATH06580,Shaik Saquib Basha,9,685.0,375.7,-182.5,TotalImprovement
ATH06402,Sarath Kumar R,7,585.0,335.78,-182.5,TotalImprovement
ATH00788,Apoorv Dubey,6,730.0,404.48,-185.0,TotalImprovement
ATH01191,Baldev Singh,3,505.0,327.45,-187.5,TotalImprovement
ATH00458,Amandeep Arora,2,600.0,364.42,-192.5,TotalImprovement
ATH02676,Jaskirat Singh,3,725.0,462.0,-195.0,TotalImprovement
ATH05986,S. Gopala Krishnan,3,315.0,304.49,-197.5,TotalImprovement
ATH00785,Aparna Ghate,3,380.0,313.24,-197.5,TotalImprovement
ATH00788,Apoorv Dubey,3,660.0,365.74,-200.0,TotalImprovement
ATH07493,Syamlal C S,2,425.0,336.04,-200.0,TotalImprovement
ATH07821,V. R. Srikumar,3,400.0,274.71,-205.0,TotalImprovement
ATH06004,S. Naveen,5,412.5,395.81,-205.0,TotalImprovement
ATH00162,Abhishek Sharma,6,580.0,421.43,-210.0,TotalImprovement
ATH04766,Paritesh Pal,4,460.0,249.37,-215.0,TotalImprovement
ATH07307,Sumit Kumar #1,4,675.0,418.8,-215.0,TotalImprovement
ATH02748,Jeevan Singh,5,560.0,388.22,-215.0,TotalImprovement
ATH06580,Shaik Saquib Basha,7,687.5,385.77,-220.0,TotalImprovement
ATH02794,Jiwan Singh Bisht,4,455.0,294.83,-220.0,TotalImprovement
ATH05663,Ravi Shankar,3,330.0,244.31,-222.5,TotalImprovement
ATH08022,Vikas Kumar,2,575.0,368.95,-230.0,TotalImprovement
ATH02369,Hari Narayan Dubey,5,570.0,342.72,-237.5,TotalImprovement
ATH04119,Monish Khan,3,525.0,322.31,-242.5,TotalImprovement
ATH07293,Suman Devi,2,162.5,173.44,-245.0,TotalImprovement
ATH06402,Sarath Kumar R,5,487.5,279.9,-247.5,TotalImprovement
ATH04875,Pooja,3,170.0,229.4,-247.5,TotalImprovement
ATH05161,Priyanka,10,240.0,341.46,-250.0,TotalImprovement
ATH06759,Shivakumar,2,395.0,383.97,-250.0,TotalImprovement
ATH03249,Komal,4,212.5,274.64,-250.0,TotalImprovement
ATH05090,Preeti,11,262.5,289.48,-257.5,TotalImprovement
ATH03419,L. Singh,2,390.0,300.59,-260.0,TotalImprovement
ATH06654,Shareef Khan,2,360.0,210.91,-260.0,TotalImprovement
ATH00644,Anjali,3,195.0,275.55,-290.0,TotalImprovement
ATH06060,Sachin,6,490.0,354.59,-315.0,TotalImprovement
ATH08105,Vishal Yadav,2,315.0,304.78,-327.5,TotalImprovement
ATH00047,A. Singh,5,222.5,230.6,-335.0,TotalImprovement
ATH04033,Mohammad Arif,2,220.0,211.1,-375.0,TotalImprovement
ATH00931,Ashish,2,300.0,256.76,-387.5,TotalImprovement
ATH05090,Preeti,3,135.0,161.15,-395.0,TotalImprovement
ATH04423,Neeraj,2,475.0,411.83,-440.0,TotalImprovement
ATH07705,Trilok Singh,3,220.0,159.2,-477.5,TotalImprovement
ATH06060,Sachin,2,187.5,211.66,-510.0,TotalImprovement
ATH08015,Vikas,3,252.5,238.82,-595.0,TotalImprovement
